kakou_no,statusRate,X,Y
3701044119,0.97 ,116.9085738,36.65160062
3701044120,0.93 ,116.8971188,36.65143442
3701044121,0.68 ,116.9782494,36.65395297
3701044122,0.68 ,116.9588041,36.64630782
3701044123,0.98 ,116.9787224,36.65951423
3701044124,0.98 ,116.9674593,36.66225012
3701044125,0.97 ,116.8831837,36.66157254
3701044126,0.86 ,116.8831965,36.67142941
3701044127,0.97 ,116.8735058,36.67892114
3701044128,0.85 ,116.8965435,36.71879606
3701044130,0.98 ,116.9308316,36.69164174
3701044133,0.98 ,116.9410848,36.68515999
3701044134,0.91 ,116.9454443,36.68288434
3701044201,0.98 ,116.9267917,36.72209447
3701044202,0.99 ,116.9265872,36.69938916
3701044203,0.98 ,116.9309339,36.68420115
3701044204,0.98 ,116.9256667,36.7015881
3701044205,0.98 ,116.9259735,36.69923574
3701044206,0.95 ,116.9265872,36.69672998
3701044207,0.85 ,116.9267917,36.6929969
3701044208,0.98 ,116.9268428,36.69545152
3701044209,0.98 ,116.9266383,36.6966277
3701044210,0.98 ,116.9310873,36.68394546
3701044211,0.78 ,116.932826,36.68138855
3701044212,0.98 ,116.9347181,36.67596791
3701044213,0.98 ,116.9332862,36.67300191
3701044214,0.98 ,116.9325703,36.67197914
3701044215,0.98 ,116.9277122,36.66333681
3701044216,0.98 ,116.9276611,36.65740479
3701044217,0.98 ,116.9275076,36.65633089
3701044218,0.98 ,116.9267406,36.65208643
3701044219,0.95 ,116.9162573,36.68205335
3701044220,0.96 ,116.9278656,36.68087717
3701044221,0.98 ,116.9391671,36.68174652
3701044222,0.94 ,116.8915448,36.70097444
3701055001,0.38 ,116.8684943,36.79578445
3701055002,0.60 ,116.9327237,36.76801647
3701055003,0.59 ,116.8720228,36.7457714
3701055004,0.52 ,116.9115526,36.78928991
3701055005,0.39 ,116.9696454,36.79286958
3701055008,0.65 ,117.0176641,36.70989803
3701055010,0.32 ,116.9778019,36.69056784
3701055012,0.53 ,117.0043298,36.68536454
3701055015,0.96 ,117.0267667,36.68737171
3701055016,0.72 ,117.0454321,36.70263643
3701055017,0.98 ,116.9737365,36.67494515
3701055019,0.81 ,117.006695,36.66534398
3701055020,0.54 ,117.0331589,36.74316336
3701055022,0.22 ,116.9917371,36.76934606
3701055030,0.96 ,36.7911944,116.9776111
3701055031,0.73 ,36.7092556,116.8781556
3701055034,0.98 ,116.9941278,36.69432649
3701055035,0.06 ,116.9085482,36.79437815
3701055101,0.83 ,117.0162066,36.67793673
3701055102,0.94 ,117.0145278,36.67730447
3701055103,0.98 ,116.9909189,36.66855289
3701055104,0.98 ,116.9880972,36.68404828
3701055105,0.98 ,116.9713841,36.68305054
